filepath,trackNum,instrument,isDrum,hasTimeSignatures,medianMetricDepth,tpq,velocity_per_track,onset_per_track,velocity_entropy_per_track,onset_entropy_per_track,duration,midi_score_track
./asap-dataset-master/Bach/Fugue/bwv_846/Shi05M.mid,0,0,FALSE,TRUE,12,384,60,51,2.13260401664262,2.25162689677626,754,FALSE
./asap-dataset-master/Bach/Fugue/bwv_848/Denisova06M.mid,0,0,FALSE,TRUE,12,384,60,52,2.07211336319096,2.32107357404636,1435,FALSE
./asap-dataset-master/Bach/Fugue/bwv_848/Lee01M.mid,0,0,FALSE,TRUE,12,384,66,52,2.01796712584335,2.21440329357199,1438,FALSE
./asap-dataset-master/Bach/Fugue/bwv_848/LeeSH01M.mid,0,0,FALSE,TRUE,12,480,61,56,2.02325088516707,2.21082316040101,1429,FALSE
./asap-dataset-master/Bach/Fugue/bwv_848/Lin04M.mid,0,0,FALSE,TRUE,12,384,66,52,2.13008298783243,2.33181712949526,1431,FALSE
./asap-dataset-master/Bach/Fugue/bwv_848/Lou01M.mid,0,0,FALSE,TRUE,12,384,56,52,2.1072081655327,2.24422977801144,1433,FALSE
./asap-dataset-master/Bach/Fugue/bwv_848/MiyashitaM01M.mid,0,0,FALSE,TRUE,12,480,64,58,2.18142434868034,2.39756549070951,1438,FALSE
./asap-dataset-master/Bach/Fugue/bwv_848/Mizumoto03M.mid,0,0,FALSE,TRUE,12,384,65,52,2.10628571330104,2.23636038577453,1440,FALSE
./asap-dataset-master/Bach/Fugue/bwv_848/SunY01M.mid,0,0,FALSE,TRUE,12,480,67,57,2.01050481922457,2.29957626224232,1431,FALSE
./asap-dataset-master/Bach/Fugue/bwv_848/Zhou01M.mid,0,0,FALSE,TRUE,12,384,61,52,2.12276486270051,2.25103638023412,1430,FALSE
./asap-dataset-master/Bach/Fugue/bwv_854/LuA01M.mid,0,0,FALSE,TRUE,12,480,61,52,2.19245969102668,2.30223705553384,739,FALSE
./asap-dataset-master/Bach/Fugue/bwv_854/MiyashitaM01M.mid,0,0,FALSE,TRUE,12,480,42,50,2.30020626943526,2.30024417100773,738,FALSE
./asap-dataset-master/Bach/Fugue/bwv_854/Ozaki01M.mid,0,0,FALSE,TRUE,12,384,58,49,2.06521414397715,2.21794401718339,734,FALSE
./asap-dataset-master/Bach/Fugue/bwv_854/Richardson01M.mid,0,0,FALSE,TRUE,12,384,52,47,2.20667088015005,2.22294189573,738,FALSE
./asap-dataset-master/Bach/Fugue/bwv_854/WangA01M.mid,0,0,FALSE,TRUE,12,480,55,56,2.04587165061728,2.21765749231245,736,FALSE
./asap-dataset-master/Bach/Fugue/bwv_856/LuoJ01M.mid,0,0,FALSE,TRUE,12,480,54,55,2.0816612521158,2.29598102130559,740,FALSE
./asap-dataset-master/Bach/Fugue/bwv_857/Bult-ItoS02M.mid,0,0,FALSE,TRUE,12,480,68,58,2.0679882311852,2.3206110457061,1400,FALSE
./asap-dataset-master/Bach/Fugue/bwv_857/Lan01M.mid,0,0,FALSE,TRUE,12,384,75,49,2.13313086793789,2.22854015431459,1353,FALSE
./asap-dataset-master/Bach/Fugue/bwv_857/Lisiecki04M.mid,0,0,FALSE,TRUE,12,384,78,52,2.11825633612169,2.27696267909012,1345,FALSE
./asap-dataset-master/Bach/Fugue/bwv_857/ToA01M.mid,0,0,FALSE,TRUE,12,480,63,57,2.09367018590752,2.22138431685854,1361,FALSE
./asap-dataset-master/Bach/Fugue/bwv_857/WangA01M.mid,0,0,FALSE,TRUE,12,480,65,58,2.17128261687032,2.41857461841063,1340,FALSE
./asap-dataset-master/Bach/Fugue/bwv_857/YuP01M.mid,0,0,FALSE,TRUE,12,480,67,56,2.02899914103947,2.19937960847862,1358,FALSE
./asap-dataset-master/Bach/Fugue/bwv_858/VuV01M.mid,0,0,FALSE,TRUE,12,480,55,49,2.0892527735921,2.33033753967181,875,FALSE
./asap-dataset-master/Bach/Fugue/bwv_858/Zhang01M.mid,0,0,FALSE,TRUE,12,384,59,51,2.17511216989082,2.20509841247835,888,FALSE
./asap-dataset-master/Bach/Fugue/bwv_860/Ko04M.mid,0,0,FALSE,TRUE,12,384,55,52,2.18531132959986,2.21209653356655,1739,FALSE
./asap-dataset-master/Bach/Fugue/bwv_860/Nikiforov05M.mid,0,0,FALSE,TRUE,12,384,61,52,2.21165642999222,2.28391439882755,1750,FALSE
./asap-dataset-master/Bach/Fugue/bwv_860/Tetzloff04M.mid,0,0,FALSE,TRUE,12,384,73,52,2.187331736047,2.31943117194661,1766,FALSE
./asap-dataset-master/Bach/Fugue/bwv_860/TuanS01M.mid,0,0,FALSE,TRUE,12,480,63,58,2.16665034280794,2.21877591075095,1740,FALSE
./asap-dataset-master/Bach/Fugue/bwv_860/YoungS01M.mid,0,0,FALSE,TRUE,12,480,72,58,2.10110985997042,2.38178293968944,1762,FALSE
./asap-dataset-master/Bach/Fugue/bwv_860/ZhangH04M.mid,0,0,FALSE,TRUE,12,384,59,52,2.18654141306356,2.31713483117303,1744,FALSE
./asap-dataset-master/Bach/Fugue/bwv_862/Song04M.mid,0,0,FALSE,TRUE,12,384,66,49,2.20407498641444,2.30821949308953,868,FALSE
./asap-dataset-master/Bach/Fugue/bwv_863/LeeN01M.mid,0,0,FALSE,TRUE,12,480,64,51,2.0411903989343,2.37515504084949,792,FALSE
./asap-dataset-master/Bach/Fugue/bwv_863/Shychko01M.mid,0,0,FALSE,TRUE,12,384,63,52,2.19859185608533,2.35847672035453,799,FALSE
