filepath,trackNum,instrument,isDrum,hasTimeSignatures,medianMetricDepth,tpq,velocity_per_track,onset_per_track,velocity_entropy_per_track,onset_entropy_per_track
"Eval-subsets/GiantPiano-MIDIs/A., Jag, Je t'aime Juliette, OXC7Fd0ZN8o.mid",0,0,FALSE,TRUE,12,384,[77],[51],[2.14280419353303],[2.4462958509442636]
"Eval-subsets/GiantPiano-MIDIs/Aaron, Michael, Piano Course, V8WvKK-1b2c.mid",0,0,FALSE,TRUE,12,384,[79],[52],[2.1901944727365494],[2.489177693669692]
"Eval-subsets/GiantPiano-MIDIs/Abel, Frederic, Lola Polka, SLNJF0uiqRw.mid",0,0,FALSE,TRUE,12,384,[53],[51],[2.164182245921865],[2.835147803406906]
"Eval-subsets/GiantPiano-MIDIs/Abramowitsch, A., 3 Nocturnes, LKK-7L2Ppw8.mid",0,0,FALSE,TRUE,12,384,[96],[52],[2.228771735492559],[2.4726276097458433]
"Eval-subsets/GiantPiano-MIDIs/Abreu, Zequinha, Tico-Tico no fubá, KyEuFpJuwfc.mid",0,0,FALSE,TRUE,12,384,[65],[52],[2.231314325437365],[2.537570987887944]
"Eval-subsets/GiantPiano-MIDIs/Abt, Franz, 7 Lieder aus dem Buche der Liebe, Op.39, K33a_r6IKeA.mid",0,0,FALSE,TRUE,12,384,[48],[51],[2.276572822059819],[2.276770866179905]
"Eval-subsets/GiantPiano-MIDIs/Achron, Joseph, 2 Pieces, Op.56, sNqKnJNxSOE.mid",0,0,FALSE,TRUE,12,384,[87],[52],[2.220884218173751],[2.3891397161060484]
"Eval-subsets/GiantPiano-MIDIs/Achron, Joseph, Symphonic Variations and Sonata, Op.39, RtRrQwO2Hng.mid",0,0,FALSE,TRUE,12,384,[81],[52],[2.2635276649299],[2.5097953210278066]
"Eval-subsets/GiantPiano-MIDIs/Ackerman, Gabriel J., Ballade No.1, Op.5, KoY5XWvk5C4.mid",0,0,FALSE,TRUE,12,384,[98],[52],[2.2220844588605337],[2.411046738723688]
"Eval-subsets/GiantPiano-MIDIs/Adalid, Marcial del, 24 Romances sans paroles, FazuwhlTGtM.mid",0,0,FALSE,TRUE,12,384,[72],[50],[2.190865659929897],[2.4716475748026174]
