filepath,trackNum,instrument,isDrum,hasTimeSignatures,medianMetricDepth,tpq,velocity_per_track,onset_per_track,velocity_entropy_per_track,onset_entropy_per_track
maestro-v3.0.0/2004/MIDI-Unprocessed_SMF_02_R1_2004_01-05_ORIG_MID--AUDIO_02_R1_2004_05_Track05_wav.midi,0,0,FALSE,TRUE,12,480,[83],[58],[2.2083630915173402],[2.2067910542755675]
maestro-v3.0.0/2004/MIDI-Unprocessed_SMF_02_R1_2004_01-05_ORIG_MID--AUDIO_02_R1_2004_06_Track06_wav.midi,0,0,FALSE,TRUE,12,480,[85],[56],[2.2837621992338186],[2.261684038298048]
maestro-v3.0.0/2004/MIDI-Unprocessed_SMF_02_R1_2004_01-05_ORIG_MID--AUDIO_02_R1_2004_08_Track08_wav.midi,0,0,FALSE,TRUE,12,480,[92],[58],[2.1418411971090525],[2.256314295767903]
maestro-v3.0.0/2004/MIDI-Unprocessed_SMF_02_R1_2004_01-05_ORIG_MID--AUDIO_02_R1_2004_10_Track10_wav.midi,0,0,FALSE,TRUE,12,480,[103],[58],[2.2162449521070022],[2.2894061928895058]
maestro-v3.0.0/2004/MIDI-Unprocessed_SMF_05_R1_2004_01_ORIG_MID--AUDIO_05_R1_2004_02_Track02_wav.midi,0,0,FALSE,TRUE,12,480,[101],[58],[2.140327023528985],[2.268097330797824]
maestro-v3.0.0/2004/MIDI-Unprocessed_SMF_05_R1_2004_01_ORIG_MID--AUDIO_05_R1_2004_03_Track03_wav.midi,0,0,FALSE,TRUE,12,480,[100],[58],[2.2161319219547213],[2.263957757199914]
maestro-v3.0.0/2004/MIDI-Unprocessed_SMF_05_R1_2004_02-03_ORIG_MID--AUDIO_05_R1_2004_06_Track06_wav.midi,0,0,FALSE,TRUE,12,480,[105],[58],[2.1979083050746153],[2.283959614786197]
maestro-v3.0.0/2004/MIDI-Unprocessed_SMF_07_R1_2004_01_ORIG_MID--AUDIO_07_R1_2004_02_Track02_wav.midi,0,0,FALSE,TRUE,12,480,[106],[58],[2.260556647962338],[2.315969355979665]
maestro-v3.0.0/2004/MIDI-Unprocessed_SMF_07_R1_2004_01_ORIG_MID--AUDIO_07_R1_2004_04_Track04_wav.midi,0,0,FALSE,TRUE,12,480,[107],[58],[2.0618169501215213],[2.3027518378986658]
maestro-v3.0.0/2004/MIDI-Unprocessed_SMF_07_R1_2004_01_ORIG_MID--AUDIO_07_R1_2004_06_Track06_wav.midi,0,0,FALSE,TRUE,12,480,[105],[58],[2.1958308477460333],[2.314631285942303]
maestro-v3.0.0/2004/MIDI-Unprocessed_SMF_07_R1_2004_01_ORIG_MID--AUDIO_07_R1_2004_12_Track12_wav.midi,0,0,FALSE,TRUE,12,480,[109],[58],[2.162199794210302],[2.2654062780202606]
maestro-v3.0.0/2004/MIDI-Unprocessed_SMF_12_01_2004_01-05_ORIG_MID--AUDIO_12_R1_2004_03_Track03_wav--1.midi,0,0,FALSE,TRUE,12,480,[83],[58],[2.2648154492805497],[2.2172228028902796]
maestro-v3.0.0/2004/MIDI-Unprocessed_SMF_12_01_2004_01-05_ORIG_MID--AUDIO_12_R1_2004_07_Track07_wav.midi,0,0,FALSE,TRUE,12,480,[105],[58],[2.251988039683285],[2.2571132371031077]
maestro-v3.0.0/2004/MIDI-Unprocessed_SMF_12_01_2004_01-05_ORIG_MID--AUDIO_12_R1_2004_08_Track08_wav.midi,0,0,FALSE,TRUE,12,480,[105],[58],[2.2483870827475743],[2.2615156448503035]
maestro-v3.0.0/2004/MIDI-Unprocessed_SMF_12_01_2004_01-05_ORIG_MID--AUDIO_12_R1_2004_09_Track09_wav.midi,0,0,FALSE,TRUE,12,480,[107],[58],[2.261814721215689],[2.274386344726001]
maestro-v3.0.0/2004/MIDI-Unprocessed_SMF_12_01_2004_01-05_ORIG_MID--AUDIO_12_R1_2004_10_Track10_wav.midi,0,0,FALSE,TRUE,12,480,[108],[58],[2.209281829256424],[2.2896457537016555]
maestro-v3.0.0/2004/MIDI-Unprocessed_SMF_13_01_2004_01-05_ORIG_MID--AUDIO_13_R1_2004_02_Track02_wav.midi,0,0,FALSE,TRUE,12,480,[103],[58],[2.2685582438953587],[2.316386457881488]
maestro-v3.0.0/2004/MIDI-Unprocessed_SMF_13_01_2004_01-05_ORIG_MID--AUDIO_13_R1_2004_05_Track05_wav.midi,0,0,FALSE,TRUE,12,480,[101],[58],[2.2544519308402244],[2.2409187457727984]
maestro-v3.0.0/2004/MIDI-Unprocessed_SMF_13_01_2004_01-05_ORIG_MID--AUDIO_13_R1_2004_08_Track08_wav.midi,0,0,FALSE,TRUE,12,480,[82],[58],[2.1776459708939186],[2.2348232912841812]
maestro-v3.0.0/2004/MIDI-Unprocessed_SMF_13_01_2004_01-05_ORIG_MID--AUDIO_13_R1_2004_09_Track09_wav.midi,0,0,FALSE,TRUE,12,480,[67],[56],[2.3582849048812724],[2.2145988536548282]
maestro-v3.0.0/2004/MIDI-Unprocessed_SMF_13_01_2004_01-05_ORIG_MID--AUDIO_13_R1_2004_10_Track10_wav.midi,0,0,FALSE,TRUE,12,480,[83],[58],[2.2455953933015973],[2.246838058714738]
maestro-v3.0.0/2004/MIDI-Unprocessed_SMF_13_01_2004_01-05_ORIG_MID--AUDIO_13_R1_2004_12_Track12_wav.midi,0,0,FALSE,TRUE,12,480,[89],[58],[2.2196047580665867],[2.3007611163072337]
