filepath,trackNum,instrument,isDrum,hasTimeSignatures,medianMetricDepth,tpq,velocity_per_track,onset_per_track,velocity_entropy_per_track,onset_entropy_per_track
Eval-subsets/Saarland Music Data (SMD)/Bach_BWV849-01_001_20090916-SMD.mid,0,0,FALSE,TRUE,12,480,[70],[54],[2.242208320260014],[2.1877194014196313]
Eval-subsets/Saarland Music Data (SMD)/Bach_BWV849-02_001_20090916-SMD.mid,0,0,FALSE,TRUE,12,480,[70],[57],[2.1944598281059347],[2.1227598342494285]
Eval-subsets/Saarland Music Data (SMD)/Bach_BWV871-01_002_20090916-SMD.mid,0,0,FALSE,TRUE,12,480,[50],[57],[2.2215143362956855],[2.1560432773081404]
Eval-subsets/Saarland Music Data (SMD)/Bach_BWV871-02_002_20090916-SMD.mid,0,0,FALSE,TRUE,12,480,[56],[57],[2.203766563904754],[2.1007718471971693]
Eval-subsets/Saarland Music Data (SMD)/Bach_BWV875-01_002_20090916-SMD.mid,0,0,FALSE,TRUE,12,480,[45],[54],[2.301780586273925],[2.1838442915604994]
Eval-subsets/Saarland Music Data (SMD)/Bach_BWV875-02_002_20090916-SMD.mid,0,0,FALSE,TRUE,12,480,[49],[52],[2.1812860620817767],[2.0979846011128274]
Eval-subsets/Saarland Music Data (SMD)/Bach_BWV888-01_008_20110315-SMD.mid,0,0,FALSE,TRUE,12,480,[64],[52],[2.1082250272983973],[2.1107298161412866]
Eval-subsets/Saarland Music Data (SMD)/Bach_BWV888-02_008_20110315-SMD.mid,0,0,FALSE,TRUE,12,480,[57],[56],[2.206863231520465],[2.0958697321118414]
Eval-subsets/Saarland Music Data (SMD)/Bartok_SZ080-01_002_20110315-SMD.mid,0,0,FALSE,TRUE,12,480,[110],[58],[2.2161044801654106],[2.0749961898767566]
Eval-subsets/Saarland Music Data (SMD)/Bartok_SZ080-02_002_20110315-SMD.mid,0,0,FALSE,TRUE,12,480,[96],[54],[2.2231056737689365],[2.1168599493420825]
Eval-subsets/Saarland Music Data (SMD)/Bartok_SZ080-03_002_20110315-SMD.mid,0,0,FALSE,TRUE,12,480,[108],[58],[2.2144987525393445],[2.0118768121066197]
Eval-subsets/Saarland Music Data (SMD)/Beethoven_Op027No1-01_003_20090916-SMD.mid,0,0,FALSE,TRUE,12,480,[99],[58],[2.2332564927802374],[2.1444039613100063]
Eval-subsets/Saarland Music Data (SMD)/Beethoven_Op027No1-02_003_20090916-SMD.mid,0,0,FALSE,TRUE,12,480,[81],[55],[2.230988423853517],[2.2014043078234637]
Eval-subsets/Saarland Music Data (SMD)/Beethoven_Op027No1-03_003_20090916-SMD.mid,0,0,FALSE,TRUE,12,480,[100],[58],[2.2316670391122067],[2.1411010733691795]
Eval-subsets/Saarland Music Data (SMD)/Beethoven_Op031No2-01_002_20090916-SMD.mid,0,0,FALSE,TRUE,12,480,[95],[58],[2.27603091366256],[2.149934476450946]
Eval-subsets/Saarland Music Data (SMD)/Beethoven_Op031No2-02_002_20090916-SMD.mid,0,0,FALSE,TRUE,12,480,[81],[57],[2.21160805229714],[2.2032513200533073]
