,filepath,trackNum,instrument,isDrum,hasTimeSignatures,medianMetricDepth,tpq,velocity_per_track,onset_per_track,velocity_entropy_per_track,onset_entropy_per_track,DNVR,DNODR
0,"Eval-subsets/ATEPP-1/Alexander_Scriabin/12_Etudes,_Op._8/No._11_in_B-Flat_Minor/musicxml_cleaned.musicxml.midi",0,0,False,True,2,1024,9,3,2.42178483753185,1.47080847632211,7.086614173228346,0.29296875
1,"Eval-subsets/ATEPP-1/Alexander_Scriabin/12_Etudes,_Op._8/No._11_in_B-Flat_Minor/musicxml_cleaned.musicxml.midi",1,0,False,True,2,1024,4,3,2.47450669675658,2.13180359436015,3.149606299212598,0.29296875
2,"Eval-subsets/ATEPP-1/Alexander_Scriabin/Piano_Sonata_No._5,_Op._53/musicxml_cleaned.musicxml.midi",0,0,False,True,2,1024,1,1,2.42768021443559,2.83521757476958,0.7874015748031495,0.09765625
3,"Eval-subsets/ATEPP-1/Alexander_Scriabin/Piano_Sonata_No._5,_Op._53/musicxml_cleaned.musicxml.midi",1,0,False,True,2,1024,20,7,2.34832871294924,2.69002580656224,15.748031496062993,0.68359375
4,"Eval-subsets/ATEPP-1/Alexander_Scriabin/Piano_Sonata_No._5,_Op._53/musicxml_cleaned.musicxml.midi",2,0,False,True,0,1024,9,7,2.41508524280211,2.81957753863545,7.086614173228346,0.68359375
5,"Eval-subsets/ATEPP-1/Claude_Debussy/12_Etudes,_Book_1,_L._136/No._1,_Pour_les_cinq_doigts/tude_1_-_Pour_les_cinq_doigts_-_daprs_Monsieur_Czerny__Claude_Debussy.mxl.midi",0,0,False,True,4,1024,18,7,2.70928045646772,1.92844768968854,14.173228346456693,0.68359375
6,"Eval-subsets/ATEPP-1/Claude_Debussy/12_Etudes,_Book_1,_L._136/No._1,_Pour_les_cinq_doigts/tude_1_-_Pour_les_cinq_doigts_-_daprs_Monsieur_Czerny__Claude_Debussy.mxl.midi",1,0,False,True,2,1024,11,7,2.71047932726848,1.88560680234894,8.661417322834646,0.68359375
7,"Eval-subsets/ATEPP-1/Claude_Debussy/12_Etudes,_Book_1,_L._136/No._2,_Pour_les_tierces/tude_2_-_Pour_les_Tierces_-_Claude_Debussy.mxl.midi",0,0,False,True,4,1024,12,3,2.43984286134036,2.20256065636098,9.448818897637794,0.29296875
8,"Eval-subsets/ATEPP-1/Claude_Debussy/12_Etudes,_Book_1,_L._136/No._2,_Pour_les_tierces/tude_2_-_Pour_les_Tierces_-_Claude_Debussy.mxl.midi",1,0,False,True,2,1024,9,3,2.64314001646011,2.20769255606811,7.086614173228346,0.29296875
9,"Eval-subsets/ATEPP-1/Claude_Debussy/12_Etudes,_Book_1,_L._136/No._3,_Pour_les_quartes/tude_3_-_Pour_les_Quartes__Claude_Debussy.mxl.midi",0,0,False,True,4,1024,17,3,2.32231405049738,2.61885997201094,13.385826771653544,0.29296875
10,"Eval-subsets/ATEPP-1/Claude_Debussy/12_Etudes,_Book_1,_L._136/No._3,_Pour_les_quartes/tude_3_-_Pour_les_Quartes__Claude_Debussy.mxl.midi",1,0,False,True,2,1024,17,3,2.60154385523532,2.68225020197368,13.385826771653544,0.29296875
11,"Eval-subsets/ATEPP-1/Claude_Debussy/12_Etudes,_Book_1,_L._136/No._4,_Pour_les_sixtes/tude_4_-_Pour_les_Sixtes___Claude_Debussy.mxl.midi",0,0,False,True,4,1024,16,3,2.08383367910401,1.7260075839886,12.598425196850393,0.29296875
12,"Eval-subsets/ATEPP-1/Claude_Debussy/12_Etudes,_Book_1,_L._136/No._4,_Pour_les_sixtes/tude_4_-_Pour_les_Sixtes___Claude_Debussy.mxl.midi",1,0,False,True,2,1024,6,3,2.52490511383536,1.79200847009517,4.724409448818897,0.29296875
13,"Eval-subsets/ATEPP-1/Claude_Debussy/Estampes,_L._100/1._Pagodes/Estampes_I_Pagodes_--_Debussy.mxl.midi",0,0,False,True,2,1024,4,3,2.20323441395143,2.85379788693619,3.149606299212598,0.29296875
14,"Eval-subsets/ATEPP-1/Claude_Debussy/Estampes,_L._100/1._Pagodes/Estampes_I_Pagodes_--_Debussy.mxl.midi",1,0,False,True,2,1024,5,7,2.09026866805188,2.92504993905559,3.937007874015748,0.68359375
15,"Eval-subsets/ATEPP-1/Claude_Debussy/Estampes,_L._100/2._Soirée_dans_Grenade/Debussy_Claude__-_Estampes_II_-_La_soiree_dans_Grenade.mxl.midi",0,0,False,True,2,1024,4,1,2.60386526212487,2.5856929334759,3.149606299212598,0.09765625
16,"Eval-subsets/ATEPP-1/Claude_Debussy/Estampes,_L._100/2._Soirée_dans_Grenade/Debussy_Claude__-_Estampes_II_-_La_soiree_dans_Grenade.mxl.midi",1,0,False,True,0,1024,16,3,2.3994759848721,2.57997418300926,12.598425196850393,0.29296875
