,trackNum,instrument,medianMetricDepth,tpq,velocity_per_track,onset_per_track,velocity_entropy_per_track,onset_entropy_per_track,DNVR,DNODR,"Ground Truth (0=Score, 1=Performance)"
count,20911.0,20911.0,20911.0,20911.0,20911.0,20911.0,20911.0,20911.0,20911.0,20911.0,20911.0
mean,0.02247620869398881,0.004686528621299794,11.616230691980297,405.8130170723543,71.75218784371862,47.5673090717804,2.17519401474504,2.3491900877509306,56.49778570371541,12.266475946985935,0.958203816173306
std,0.1600209488189645,0.45176420847283083,1.9479262330559586,96.8261362680451,22.05038341551496,11.507997369933452,0.30037865799320457,0.31002732650143766,17.362506626390047,3.196148670826988,0.20012790450225568
min,0.0,0.0,0.0,220.0,1.0,1.0,0.0,0.0,0.78740157480315,0.09765625,0.0
3.5%,0.0,0.0,4.0,384.0,13.0,8.0,1.6410221333320987,1.847199957331255,10.2362204724409,1.45833333333333,0.0
3.51%,0.0,0.0,4.0,384.0,13.0,8.0,1.64341771979318,1.852555048428222,10.2362204724409,1.45833333333333,0.0
3.52%,0.0,0.0,4.0,384.0,13.0,8.0,1.643599811492699,1.85465261855982,10.2362204724409,1.46484375,0.0
3.53%,0.0,0.0,4.0,384.0,13.0,8.0,1.64884707167248,1.8551538950148374,10.2362204724409,1.46484375,0.0
3.54%,0.0,0.0,4.0,384.0,13.0,8.0,1.6588237201427147,1.8586239971562957,10.2362204724409,1.46484375,0.0
3.55%,0.0,0.0,4.0,384.0,13.0,8.0,1.66094743328692,1.860947629316187,10.2362204724409,1.46484375,0.0
3.56%,0.0,0.0,4.0,384.0,13.0,8.0,1.66687569743084,1.862463289114066,10.2362204724409,1.46484375,0.0
3.57%,0.0,0.0,4.0,384.0,13.0,8.0,1.6720969699001071,1.8638320116484202,10.2362204724409,1.46484375,0.0
3.58%,0.0,0.0,4.0,384.0,13.0,8.0,1.674929776698617,1.8640964797040853,10.2362204724409,1.46484375,0.0
3.59%,0.0,0.0,4.668999999999983,384.0,13.0,8.0,1.6928641492368666,1.8643394237437514,10.2362204724409,1.46484375,0.0
3.6%,0.0,0.0,5.759999999999991,384.0,13.0,8.0,1.69574253416963,1.8670664996869568,10.2362204724409,1.46484375,0.0
3.61%,0.0,0.0,6.0,384.0,13.0,8.0,1.7003000325145192,1.8678801716292,10.2362204724409,1.66666666666667,0.0
3.62%,0.0,0.0,6.0,384.0,13.0,8.0,1.7071083077240585,1.869199024407026,10.2362204724409,1.66666666666667,0.0
3.63%,0.0,0.0,6.0,384.0,13.0,8.0,1.7202515718959752,1.87180217690159,10.2362204724409,1.66666666666667,0.0
3.64%,0.0,0.0,6.0,384.0,13.0,9.0,1.7303242760737383,1.8735889466151716,10.2362204724409,1.66666666666667,0.0
3.65%,0.0,0.0,6.0,384.0,13.0,9.0,1.73286795139986,1.87464074053575,10.2362204724409,1.66666666666667,0.0
3.66%,0.0,0.0,6.0,384.0,13.0,9.0,1.73286795139986,1.8751403907674762,10.2362204724409,1.66666666666667,0.0
3.67%,0.0,0.0,6.0,384.0,13.0,9.0,1.7344455175356575,1.8774704083373137,10.2362204724409,1.66666666666667,0.0
3.68%,0.0,0.0,6.0,384.0,13.0,9.0,1.73512645696292,1.8806242090443093,10.2362204724409,1.66666666666667,0.0
3.69%,0.0,0.0,6.0,384.0,13.0,9.0,1.73512645696292,1.881979697998224,10.2362204724409,1.66666666666667,0.0
3.7%,0.0,0.0,6.0,384.0,13.0,9.0,1.73512645696292,1.884375397494431,10.2362204724409,1.66666666666667,0.0
3.71%,0.0,0.0,6.0,384.0,13.0,9.0,1.73512645696292,1.8854310253127236,10.2362204724409,1.66666666666667,0.0
3.72%,0.0,0.0,6.0,384.0,13.0,9.0,1.73512645696292,1.8861247034515896,10.2362204724409,1.66666666666667,0.0
3.73%,0.0,0.0,6.0,384.0,13.942999999999984,9.0,1.7468540433690751,1.8866247284476956,10.978740157480305,1.66666666666667,0.0
3.74%,0.0,0.0,6.0,384.0,14.0,9.0,1.74786809746676,1.88669678465808,11.0236220472441,1.66666666666667,0.0
3.75%,0.0,0.0,6.0,384.0,14.0,9.0,1.74786809746676,1.8867633891806825,11.0236220472441,1.66666666666667,0.0
3.76%,0.0,0.0,6.216000000000008,384.0,14.0,9.0,1.749235158976883,1.8879165897684507,11.0236220472441,1.66666666666667,0.0
3.77%,0.0,0.0,8.0,384.0,14.0,9.0,1.7543489653872566,1.88915916375402,11.0236220472441,1.66666666666667,0.0
3.78%,0.0,0.0,8.0,384.0,14.0,9.0,1.7565046102348396,1.88915916375402,11.0236220472441,1.66666666666667,0.0
3.79%,0.0,0.0,8.0,384.0,14.0,9.0,1.76017552682609,1.8901455523684245,11.0236220472441,1.66666666666667,0.0
3.8%,0.0,0.0,8.0,384.0,14.0,9.0,1.7641516589423036,1.8917806280499891,11.0236220472441,1.66666666666667,0.0
3.81%,0.0,0.0,8.0,384.0,14.0,9.0,1.7676503992262922,1.8936273912507633,11.0236220472441,1.66666666666667,0.0
3.82%,0.0,0.0,8.0,384.0,14.0,9.0,1.7711315368391405,1.89378823239114,11.0236220472441,1.66666666666667,0.0
3.83%,0.0,0.0,8.0,384.0,14.0,9.0,1.7722341368064598,1.89378823239114,11.0236220472441,1.66666666666667,0.0
3.84%,0.0,0.0,8.0,384.0,14.0,9.0,1.7803737124381809,1.8946386676072702,11.0236220472441,1.66666666666667,0.0
3.85%,0.0,0.0,10.069999999999936,384.0,14.0,9.0,1.78557386526543,1.8978464722049861,11.0236220472441,1.66666666666667,0.0
3.86%,0.0,0.0,12.0,384.0,14.0,9.0,1.7857294090800417,1.89892678933633,11.0236220472441,1.66666666666667,0.0
3.87%,0.0,0.0,12.0,384.0,14.0,9.0,1.789379564136363,1.8997133227581198,11.0236220472441,1.7005729166666677,0.0
3.88%,0.0,0.0,12.0,384.0,14.0,9.0,1.7907074707888906,1.9021724839218015,11.0236220472441,1.846166666666664,0.0
3.89%,0.0,0.0,12.0,384.0,14.0,9.0,1.7915399392101077,1.90368668833762,11.0236220472441,1.875,0.0
3.9%,0.0,0.0,12.0,384.0,14.0,9.0,1.79175946922806,1.90368668833762,11.0236220472441,1.875,0.0
3.91%,0.0,0.0,12.0,384.0,14.0,9.0,1.79175946922806,1.9058469058028016,11.0236220472441,1.875,0.0
3.92%,0.0,0.0,12.0,384.0,14.0,9.0,1.79175946922806,1.906297674512365,11.0236220472441,1.875,0.0
3.93%,0.0,0.0,12.0,384.0,14.0,9.0,1.79175946922806,1.90728399932138,11.0236220472441,1.875,0.0
3.94%,0.0,0.0,12.0,384.0,14.0,9.0,1.79175946922806,1.90728399932138,11.0236220472441,1.875,0.0
3.95%,0.0,0.0,12.0,384.0,14.0,9.94500000000005,1.79175946922806,1.90853528164356,11.0236220472441,1.875,0.0
3.96%,0.0,0.0,12.0,384.0,14.0,10.0,1.7917878768887283,1.9085725163331464,11.0236220472441,1.875,0.0
3.97%,0.0,0.0,12.0,384.0,14.0,10.0,1.7958592519658925,1.9102170160583758,11.0236220472441,1.875,0.0
3.98%,0.0,0.0,12.0,384.0,14.0,10.0,1.8095272062299135,1.9173405295680208,11.0236220472441,1.875,0.0
3.99%,0.0,0.0,12.0,384.0,15.0,10.0,1.8122218330460924,1.919268730921757,11.8110236220472,1.875,0.0
4%,0.0,0.0,12.0,384.0,15.0,10.0,1.817740144249624,1.921908958579216,11.8110236220472,1.875,0.0
4.01%,0.0,0.0,12.0,384.0,15.0,10.0,1.81884777724898,1.9229410566301042,11.8110236220472,1.875,0.0
