,velocity_entropy_per_track,onset_entropy_per_track,"Ground Truth (0=Score, 1=Performance)"
17,2.2635077863988,2.49359487969227,1
22715,1.03972077083992,1.93619934568452,1
3334,2.17189776541836,2.30835708047809,1
21500,2.22778480680949,2.45118731215876,1
4371,2.1419653906114,2.24940795502142,1
10933,2.31473013184357,2.36278601667864,1
24686,2.16734466501642,2.37191466206267,1
352,2.261889308221,2.47912181501291,1
24831,2.18328858034785,2.22274860193578,1
11389,2.22215256086339,2.35578266529728,1
438,2.34556673419002,2.38747548805991,1
16152,2.21963235923544,2.47694446829749,1
13174,2.12370581204081,2.28934296057067,1
10617,2.28950579384479,2.50678131659572,1
8339,2.27466989472171,2.38910961250176,1
17784,2.28704878394902,2.69297710302637,1
24010,2.24000534267599,2.40837892239423,1
17016,2.20913999175289,2.459966191036,1
10503,2.27998437305233,2.4555146251049,1
2790,2.24258247684126,2.36848844298534,1
10753,2.25076982583808,2.32225387153016,1
15157,2.32334697201911,2.63306716793673,1
14507,2.29874113541152,2.80625459742363,1
11015,2.27005996274097,2.38274461449924,1
1103,2.31899124918061,2.51695888394407,1
14060,2.20482545971484,2.4665117347039,1
303,2.34423724596827,2.28129643184873,1
16253,2.04544379769975,2.31072971975019,1
5230,2.25055092246622,2.43131123126992,1
20724,2.25917530885626,2.6290958023742,1
15485,2.14932527640246,2.29182916483994,1
8068,2.22886633570782,2.3467523476713,1
22077,2.36479430618511,2.90172844318332,1
15377,2.23403170413351,2.32022719440265,1
24415,2.14968568640279,2.28423777420396,1
6239,2.21072247842259,2.3078091423187,1
21858,2.20845501302036,2.33699349460018,1
19908,2.24858170424801,2.46028257757403,1
20372,2.1762470313371,2.33886810984609,1
10182,2.2062240837247,2.3777040927424,1
19443,2.22668766862912,2.43836461805547,1
19264,2.20515913089286,2.49274496479735,1
19078,2.12744404363986,2.34571216912944,1
7531,2.28969602934103,2.41104431324123,1
15247,2.22284217767495,2.3717521926391,1
18233,2.20932033847803,2.4686990815786,1
4515,2.00235803065804,2.31514236262197,1
23014,2.11700887423652,2.28856511256978,1
9280,2.01501976763526,2.33316027734372,1
3382,2.33439590525655,2.36480887081416,1
16246,2.24072348249955,2.41870364556163,1
12194,2.1237368172447,2.2944887764295,1
3996,2.17546106023528,2.41715251167504,1
3820,2.09085349209072,2.29933183321377,1
7549,2.31722444933564,2.43470599389658,1
17296,2.3695029342136,2.88624436016678,1
4534,2.12927836384755,2.36179870513297,1
5819,2.22214277179254,2.39579909043319,1
25906,2.57130482544008,2.29060423350477,0
20313,2.22631672187302,2.23931823697923,1
12872,2.28449345268173,2.80959680006336,1
23814,2.10024544998574,2.25139959340378,1
6969,2.25078760864174,2.44531014525966,1
7586,2.28282280509233,2.39814597919057,1
6425,2.29704027015366,2.35640371300264,1
955,2.19472917926518,2.35187127272457,1
18856,2.22843257989905,2.48559583453687,1
13037,2.20386260169652,2.36837150479556,1
1799,2.25695909055349,2.48442615038973,1
26022,2.46675175172091,0.0,0
18183,2.16939039529588,2.38278142129721,1
